"nom","adresse","codepostal","ville","www","mail","telephone","type","conventionnement","licence","reseaux","activite_aidecreation","activite_diffusion","activite_actionculturelle","aidecreation_preachat","aidecreation_coprod","aidecreation_residence","diffusion_festival","diffusion_festival_nom","diffusion_total","diffusion_jp","diffusion_0_3ans","diffusion_3_6ans","diffusion_6_12ans","diffusion_12ans","diffusion_places_jp","diffusion_departement","diffusion_epci","diffusion_commune","actionculturelle_scolaire","actionculturelle_periscolaire","actionculturelle_extrascolaire","actionculturelle_departement","actionculturelle_epci","actionculturelle_commune","notes","coords__001","coords__002"
"Affaires Culturelles Ville Des Sables D'Olonne","21, place du Poilu de France","85108","Les Sables d'Olonne","http://www.lessablesdolonne.fr","jean-christophe.lheuillier@lessablesdolonne.fr","0251231660","Théâtre municipal","","3-1078343","","Non","Oui","Oui","","","","Non","","55","9","0","3","3","3","6000","85","200071165","","Oui","Non","Non","85","200071165","","","46.4971096","-1.78378326617871"
"Atelier De L'Ourse Bleue","20 bis, rue des Lices","49000","Angers","http://www.oursebleue.fr","contact.aug@orange.fr","0642267573","Entreprise au sein d'une coopérative","","","","Non","Non","Oui","","","","Non","","","","","","","","","","","","Oui","Non","Oui","49","244900015","","","47.4685214","-0.5541406"
"Centre Culturel Athéna","Avenue général De Gaulle","72400","La Ferté-Bernard","https://www.la-ferte-bernard.fr","","0243714669","Théâtre municipal","","1-1085492\n2-1085490\n3-1085493","Réseau JP Sarthe\nPÉCANS","Oui","Oui","Oui","2","2","4","Non","","25","10","2","4","2","2","5000","72","247200686","72132","Oui","Non","Non","72","247200686","","","48.1827359","0.6473614"
"Centre Culturel De La Sarthe","route de Changé","72530","Yvré l'Evêque","http://prieuredevivoin.sarthe.com/","","0243842229","Établissement public","","1-1052042\n2-1052044\n3-1052045","","Non","Oui","Non","","","","Oui","Momo Festival","10","5","0","1","4","5","495","72","200072700","72380","Non","Non","Non","","","","","48.0078708","0.2745443"
"Centre Culturel L'Echiquier","La Fournière","85700","Pouzauges","http://www.echiquier-paysdepouzauges.fr","echiquier.paysdepouzauges@wanadoo.fr","0251614611","Communauté de communes","","1-1078350\n2-1078351\n3-1078352","","Non","Oui","Oui","","","","Oui","Drôles de Bobines","29","10","1","3","3","3","4107","85","248500621","","Oui","Oui","Oui","85","248500464","","","46.7749451","-0.8494283"
"Cie Et Ecole De Cirque Mimulus","Place de la Gare","72130","Fresnay-sur-Sarthe","http://www.mimulus","scolaire-mimulus@orange.fr","0243336944","Association","","1-1057710\n1-1057711\n2-1024131\n3-1057712","","Non","Oui","Oui","","","","Non","","6","2","0","2","2","1","2400","72","200072700","72138","Oui","Oui","Non","72","200072700","72138","","48.280659","0.02944"
"Communauté De Communes Du Pays De Craon","Rue de Buchenberg B.P.71","53400","Craon","http://www.paysdecraon.fr","","0243091989","Communauté de communes","","1-1112521\n2-1112522\n3-1112523","","Non","Oui","Oui","","","","Non","","21","11","2","3","3","3","5000","53","200048551","","Oui","Oui","Oui","53","200048551","","","47.842866","-0.967504"
"Communauté De Communes Du Pays Des Herbiers","6 rue du Tourniquet","85500","Les Herbiers","","anne.ratouit@cc-paysdesherbiers.fr","0251664239","Communauté de communes","","","","Non","Oui","Oui","","","","Non","","7","7","2","2","3","0","3500","85","248500621","85301","Oui","Non","Oui","85","248500621","85301","","46.8691045","-1.0130236"
"Communauté De Communes Erdre Et Gesvres","1 rue Marie Curie - PA La Grande Haie","44119","Grandchamp des Fontaines","http://www.hors-saison.fr","","0228022252","Communauté de communes","","2-1078421\n3-1078422","Scène d'Enfance - Assitej France\nCollectif des médiateurs jeune public des Pays de la Loire","Oui","Oui","Oui","1","3","1","Oui","Le Tout-petit Festival","15","15","3","3","7","2","6363","44","244400503","","Oui","Non","Oui","44","244400503","","","47.374531","-1.64663"
"Communauté De Communes Lbn","24 rue du pont de 4 metres","72540","Loué","http://www.culturelbn.fr","culture@cc-lbn.fr","0272880037","Communauté de communes","","2-1075660\n3-1075661","Réseau JP Sarthe","Non","Oui","Oui","","","","Non","","17","10","1","5","3","1","1790","72","200040475","72239","Oui","Non","Oui","72","200040475","","","47.994555","-0.158881"
"Communauté De Communes Pays De Chantonnay","65 av. du Général de Gaulle","85110","Chantonnay","http://www.cc-paysdechantonnay.fr","","0251944023","Communauté de communes","","3-1075758","","Non","Oui","Oui","","","","Non","","4","3","1","0","2","0","1300","85","248500340","","Oui","Non","Oui","85","248500340","","","46.6925884","-1.049817"
"Communaute De Communes Vendee Sevre Autise","25 rue de la Gare","85420","Oulmes","http://www.cc-vsa.com","culture@cc-vsa.com","0251504880","Communauté de communes","","2-1080596\n3-1080597","","Non","Oui","Oui","","","","Non","","11","6","2","2","2","0","600","85","248500563","","Oui","Non","Non","85","248500563","","","46.4101831","-0.6805809"
"Commune De Beaufort-En-Anjou","16 rue de l'hôtel de ville","49250","Beaufort-en-anjou","","","0241793613","Commune","","3-1101328","PJP 49","Oui","Oui","Oui","2","1","1","Oui","Festi'pousses","12","7","1","1","5","0","900","49","244900882","49201","Oui","Oui","Oui","49","244900882","49201","","47.4404999","-0.215733"
"Commune De Changé","Hôtel de ville, 6 place Christian d'Elva","53810","Changé","http://www.culture-change53.fr","","0243533442","Théâtre municipal","","1-1094272\n2-1094273\n3-1094274","","Non","Oui","Oui","","","","Non","","23","4","2","0","2","4","850","53","245300330","53054","Oui","Non","Oui","53","245300330","53054","","48.09863845","-0.788661573109924"
"Direction Des Affaires Culturelles","Le Cyel, 10 rue Salvador Allende","85000","La Roche sur Yon","http://www.larochesuryon.fr","","0251474907","Ville","","1-1112685\n1-1112684\n1-1112686\n2-1112687\n3-1112688","","Oui","Oui","Oui","5","3","3","Oui","Les concerts très tôt","51","6","3","3","0","0","1900","85","248500589","85000","Non","Oui","Oui","85","248500589","85000","","46.670427","-1.431175"
"Espace Culturel René Cassin-La Gare","avenue de la Gare","85200","Fontenay-le-comte","http://www.fontenaylecomte.fr","ecc.r.cassin@ville-fontenaylecomte.fr","0251000500","Théâtre municipal","","1-1080706\n1-1105630\n3-1080708","","Non","Non","Oui","","","","Non","","20","10","1","2","1","5","4140","","","","Oui","Non","Non","85","200071934","85092","","46.4622697","-0.7943181"
"Espace Culturel Scelia","Rue Didier Pironi","72190","Sargé-Lès-Le Mans","http://www.sargeleslemans.fr","scelia@sargeleslemans.fr","0243763850","Théâtre municipal","","3-1042023\n1-1042022","Réseau JP Sarthe","Non","Oui","Oui","","","","Oui","Pays du Môme\nRendez vous pour les p'tits Queniaux","16","8","3","4","1","0","1200","72","247200132","72328","Oui","Non","Oui","72","247200132","72328","","48.0356169","0.2417959"
"Espace Saugonna","2 rue de la Gare","72600","Mamers","","","0243337790","Communauté de communes","","1-1101333","Réseau JP Sarthe","Non","Oui","Oui","","","","Non","","18","8","0","2","3","3","4663","72","200072676","","Oui","Non","Oui","72","200072676","","","48.347135","0.364821"
"Graines D'Images","35, rue de Degré - hall A","72000","Le Mans","http://www.grainesdimages.com","graines.dimages@wanadoo.fr","0243782501","Réseau de salles de cinéma","","","","Non","Oui","Oui","","","","Oui","Graines d'Images Junior","0","0","0","0","0","0","0","72","247200686","","Oui","Non","Oui","72","247200686","","","48.019064","0.173756"
"Ici Ou Là, Service Culturel De La Ville D'Indre","1 avenue de la Loire","44610","Indre","http://www.ici-ou-la.fr","","0240854574","Théâtre municipal","","2-1085562\n3-1085563","","Non","Oui","Oui","","","","Non","","15","5","1","2","2","0","842","44","244400404","44074","Oui","Non","Non","44","244400404","44074","","47.1979752","-1.6637588"
"La 3'E Saison De L'Ernée","Cté de communes de l'Ernée - ZA de la Querminais - BP 28","53500","Ernée","http://www.cc-lernee.fr","a.mandagot@lernee.fr","0243059887","Communauté de communes","","3-1059176","PlatO - Plateforme jeune public des Pays de la Loire","Oui","Oui","Oui","1","1","0","Non","","17","9","1","3","3","2","5100","53","245300355","53269","Oui","Oui","Oui","53","245300355","53269","","48.288472","-0.922085"
"La Bouche D'Air","33 rue de strasbourg","44000","Nantes","http://www.labouchdair.com","","0240734020","Association","","2-1034552\n3-1034553","RAMDAM","Oui","Oui","Oui","0","0","1","Non","","52","4","0","2","2","0","3806","44","244400404","44109","Oui","Non","Non","44","244400404","44109","","47.2193637","-1.5542702"
"La Boussole - Médiathèque De La Barre De Monts","2, Chemin du Querruy","85550","La Barre de Monts","http://www.bibliotheques-omdm.fr","bibliotheque.mairie@ville-labarredemonts.fr","0251688486","Médiathèque","","","","Non","Non","Oui","","","","Non","","","","","","","","","","","","Oui","Non","Non","85","248500258","85012","","46.8851524","-2.1193078"
"La Soufflerie","2 Avenue de Bretagne","44400","Rezé","http://www.lasoufflerie.org","","0251707801","Scène conventionnée","Voix","1-1091646\n2-1091647\n3-1091648","PlatO - Plateforme jeune public des Pays de la Loire","Non","Oui","Oui","","","","Non","","60","6","1","3","2","0","2590","44","244400404","","Oui","Oui","Oui","44","244400404","","","47.1853181","-1.5550563"
"Le Carroi","Espace Montréal","72200","La Flèche","http://www.lecarroi.org","","0243940899","Centre socioculturel","","2-1057556\n3-1057557","Réseau JP Sarthe","Oui","Oui","Oui","","","","Oui","Malices au Pays","28","7","1","6","14","15","3300","72","247200348","72154","Oui","Non","Non","72","247200348","72154","","47.699299","-0.073327"
"Le Grand R","Esplanade Jeannie-Mazurelle, Rue Pierre-Bérégovoy – BP 681","85017","La Roche-sur-Yon","http://www.legrandr.com","contact@legrandr.com","0251478380","Scène nationale","","1-1075762\n1-1075763\n1-1075764\n2-1075765\n3-1075766","Collectif des médiateurs jeune public des Pays de la Loire","Oui","Oui","Oui","13","1","1","Non","","48","9","0","2","5","2","6834","85","248500589","85213","Oui","Non","Oui","85","248500589","85191","","46.668682","-1.429985"
"Le Grand T","84 rue du Général Buat - BP 30111","44011","Nantes","http://www.leGrandT.fr","prog.jeunepublic@legrandt.fr","0251882525","Scène conventionnée","Théâtre","1-1075853\n1-1075850\n2-1075851\n3-1075852","Scène d'Enfance - Assitej France\nCollectif des médiateurs jeune public des Pays de la Loire","Oui","Oui","Oui","72","2","1","Oui","Petits en Grands","54","11","0","0","5","6","22703","44","244400644","","Oui","Non","Non","44","244400610","","","47.231373","-1.540397"
