"nom","annee","adresse","codepostal","ville","mail","www","reseaux","lieu_creation","lieu_diffusion","convention","structure_associee","creation","diffusion","diffusion_region","diffusion_france","diffusion_monde","diffusion_reseaux_sn","diffusion_reseaux_conv","diffusion_reseaux_ccn","diffusion_reseaux_cdn","diffusion_reseaux_thm","diffusion_reseaux_epci","diffusion_reseaux_centreculturel","diffusion_reseaux_mediatheque","diffusion_reseaux_autre","formesartistiques_theatre","formesartistiques_danse","formesartistiques_cirque","formesartistiques_musique","formesartistiques_marionette","formesartistiques_cinema","formesartistiques_theatreobjet","formesartistiques_autre","agecible_0_3ans","agecible_3_6ans","agecible_6_12ans","agecible_12ans","coords__001","coords__002"
"Théâtre pour 2 mains","2001","27 avenue de la Gare de Saint Joseph","44300","Nantes","","http://www.theatrepour2mains.fr","Scène d'Enfance - Assitej France","Non","Non","Avec la Région","Non","2","7","40","60","0","Oui","Oui","Non","Oui","Non","Non","Non","Non","","Non","Non","Non","Non","Oui","Non","Oui","","Oui","Oui","Oui","Non","47.2536267","-1.5233479"
"Compagnie Arts Symbiose","2001","Espace Camille Flammarion, 7 bld de la République","44380","Pornichet","cie.arts.symbiose@free.fr","https://www.cieartssymbiose.com/","PlatO - Plateforme jeune public des Pays de la Loire Scènes d'enfance","Non","Non","Non","Non","1","2","80","20","0","Non","Oui","Non","Non","Oui","Oui","Oui","Oui","Structures petite enfance","Oui","Non","Non","Non","Non","Non","Oui","Théâtre gestuel","Oui","Oui","Non","Non","47.260479","-2.336663"
"Séverine Coulon","2015","2 rue du lieutenant de monti","44400","Reze","coulon.severine@free.fr","https://severinecoulon.com/","PlatO - Plateforme jeune public des Pays de la Loire Scène d'Enfance - Assitej France","Non","Non","Non","Bouffou Théâtre à la Coque et Le Grand Bleu à Lille","1","1","12","72","16","Oui","Oui","Non","Oui","Oui","Oui","Oui","Non","Festivals","Oui","Non","Non","Non","Oui","Non","Oui","","Non","Oui","Oui","Oui","47.185880","-1.553589"
"Cie La Lune Rousse","1990","11 rue de dijon","44800","saint herblain","lalunerousse@free.fr","http://www.lalunerousse.fr","","Oui","Non","Non","Non","1","3","20","60","20","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Centre socio-culturels\nFestivals","Non","Non","Non","Non","Non","Non","Non","Arts du recit","Oui","Oui","Oui","Non","47.2062728","-1.6152834"
"THEATRE DU RICTUS","1997","27 RUE DU BUISSON","44980","SAINTE LUCE SUR LOIRE","lmaindon@free.fr","https://theatredurictus.fr/","PlatO - Plateforme jeune public des Pays de la Loire","Oui","Non","Avec la DRAC","Non","1","1","6","7","68","Oui","Oui","Non","Non","Oui","Non","Oui","Non","","Oui","Non","Non","Non","Non","Non","Non","","Non","Non","Non","Oui","47.2602604","-1.4832301"
"CIE OSTEOROCK","2005","7 place de la République","49100","ANGERS","contact@osteorock.com","http://www.osteorock.com","","Oui","Non","Non","Non","1","4","100","0","0","Non","Non","Oui","Non","Oui","Oui","Oui","Non","","Non","Oui","Non","Oui","Non","Non","Non","","Non","Oui","Oui","Non","47.4725177","-0.5546717"
"Compagnie Il est doux de faire les fous","2017","10 rue Jacqueline Mazé","49130","Les Ponts-de-Cé","ilestdoux@outlook.fr","https://ilestdouxdefairelesfous.wordpress.com/","","Non","Non","Non","Non","2","2","100","0","0","Non","Oui","Non","Non","Oui","Oui","Oui","Oui","","Oui","Non","Non","Oui","Non","Non","Oui","","Non","Non","Oui","Oui","47.429455","-0.522039"
"Cie Ernesto Barytoni","2010","14 bis rue du Beuvron","49600","Andrezé","stephane@ernestobarytoni.com","http://www.ernestobarytoni.com","","Non","Non","Non","Non","1","4","80","20","0","Non","Non","Non","Non","Non","Oui","Oui","Oui","Milieu scolaire\nCentres de loisirs\nCentre socio-culturels\nMilieu associatif\nComités d'entreprises\nStructures handicap\nÉvènementiel","Oui","Non","Non","Oui","Non","Non","Non","","Oui","Oui","Non","Non","47.1724128","-0.9560851"
"Cie Art Zygote","1997","25, rue albert Einstein","53000","LAVAL","diffusion.artzygote@gmail.com","http://compagnieartzygote.blogspot.com","Scène d'Enfance - Assitej Fran PlatO - Plateforme jeune public des Pays de la Loire","Oui","Non","Non","Non","2","3","51","49","0","Oui","Oui","Non","Non","Oui","Oui","Oui","Oui","Milieu scolaire\nBibliothèques / Médiathèques\nMaisons de quartiers","Oui","Oui","Non","Non","Oui","Non","Oui","Théâtre de papier","Non","Oui","Oui","Oui","48.0550492","-0.741273582890258"
"THEATRE DE L'ECHAPPEE","1987","Quartier Ferrié / 30 rue Henri Géret","53000","LAVAL","francoisbechu@theatrelechappee.com","http://www.theatrelechappee.com","","Oui","Oui","Non","Non","3","3","20","30","0","Non","Oui","Non","Non","Oui","Oui","Oui","Oui","Structures petite enfance","Oui","Oui","Non","Non","Non","Non","Non","","Oui","Oui","Non","Oui","48.079049","-0.784335"
