"nom","adresse","codepostal","ville","mail","www","telephone","type","convetionnement","licence","reseaux","activite_aidecreation","activite_diffusion","activite_actionculturelle","aidecreation_preachat","aidecreation_coprod","aidecreation_residence","diffusion_festival","diffusion_festival_nom","diffusion_total","diffusion_jp","diffusion_0_3ans","diffusion_3_6ans","diffusion_6_12ans","diffusion_12ans","diffusion_places_jp","diffusion_departement","diffusion_epci","diffusion_commune","actionculturelle_scolaire","actionculturelle_periscolaire","actionculturelle_extrascolaire","actionculturelle_departement","actionculturelle_epci","actionculturelle_commune","coords__001","coords__002"
"Centre Culturel","1 rue Amédée Savidan","72120","SAINT CALAIS","culturel.saintcalais@orange.fr","http://www.saint-calais.fr","0243356303","commune","","","PÉCANS","Non","Oui","Oui","0","0","0","Non","","15","12","2","2","4","4","1500","72","200072692","72269","Oui","Non","Oui","72","200072692","72269","47.9211882","0.7435439"
"ADAJ Le Jardin de Verre","13 bd Gustave Richard","49300","Cholet","francois.gabory@jardindeverre.fr","http://www.jardindeverre.fr/","0241651358","Association","","1-1013478 2-1013479 3-1013480","","Non","Non","Oui","0","0","0","Non","","0","0","0","0","0","0","0","","","","Oui","Non","Non","49","200071678","","47.0626803","-0.8809777"
"Théâtre du Champ de Bataille","10 rue du Champ de Bataille","49100","Angers","contact@champdebataille.net","http://champdebataille.net","0241720094","Théâtre","","1-1052037 2–1052038 3-1052039","","Oui","Oui","Oui","2","2","3","Non","","18","7","2","2","3","4","5760","49","244900015","49007","Oui","Oui","Oui","49","244900015","","47.4815035","-0.5673384"
"Théâtre Philippe Noiret","PLACE DES FONTAINES • DOUÉ-LA-FONTAINE","49700","DOUÉ-EN-ANJOU","d.touquet@doue-en-anjou.fr","http://www.doue-en-anjou.fr","0241500977","Théâtre municipal","","1-1101319","PJP49","Oui","Oui","Oui","1","1","1","Non","","22","8","1","2","3","2","3300","49","200071876","49125","Oui","Non","Oui","49","200071876","49125","47.1954695","-0.276190493017237"
"Espace culturel Léopold Sédar Senghor","4, rue des tilleuls","49122","LE MAY-SUR-EVRE","","http://www.espacesenghor.fr","0241716848","Théâtre municipal","","1-1043979","PJP49","Oui","Oui","Oui","2","1","2","Oui","Festival L'arbre à pompons","18","8","1","2","4","1","2140","49","200071678","49193","Oui","Non","Oui","49","200071678","49193","47.1363776","-0.8928297"
"Le Cargo","Place du Port","49500","Segré-en-anjou-bleu","culture@segreenanjoubleu.fr","https://www.segreenanjoubleu.fr/vivre-ici/culture/le-cargo/","0241923189","Théâtre municipal","","1-1036466 2-1036416 3-1036417","PJP49","Oui","Oui","Oui","1","1","1","Non","","18","4","1","1","1","1","1650","49","244900809","49331","Oui","Oui","Oui","49","244900809","49331","47.6856229","-0.868027518913304"
"Commune de Loire-Authion","24-26 Levée Jeanne de Laval - Saint Mathurin sur Loire","49250","Loire-Authion","contact@loire-authion.fr","http://www.loire-authion.fr","0241573608","0","","3-1103392","","Non","Oui","Oui","0","0","0","Non","","24","9","1","2","7","0","1100","49","244900015","","Oui","Oui","Oui","49","244900015","","47.408833","-0.318601"
"ONPL - Orchestre National des Pays de la Loire","Maison des Arts-Esplanade H. Dutilleux - BP 15246","49052","ANGERS","","http://www.onpl.fr","0241246842","SYNDICAT MIXTE ONPL","","2-1094261 3-1094262","","Non","Oui","Oui","0","0","0","Non","","106","14","0","0","7","7","5800","44 49","244400404 200060010 200071678 200071876 244900015","44109 49092 49193 49125 49328 49007","Oui","Non","Oui","44 49","200067635 200067866 200072726 244400404 244400438 244400503 244400537 244400552 200060010 200071678 200071876 244900015","44036 44026 44047 44114 44162 44003 49023 49092 49218 49244 49301 49099 49192 49193 49355 49125 49149 49180 49215 49219 49261 49328 49007 49200","47.452874","-0.510892"
"Département Maine-et-Loire","CS 94104","49941","Angers","","http://www.maine-et-loire.fr","0241256276","Département","","","","Oui","Oui","Oui","0","8","0","Non","","0","0","0","0","0","0","0","","","","Non","Non","Non","","","","47.470497","-0.551607"
"Direction Culture de Saint-Nazaire","Place François Blancho","44600","Saint-Nazaire","","http://www.saintnazaire.fr/","0240004177","Ville","","","Collectif des médiateurs jeune public des Pays de la Loire","Non","Non","Oui","0","0","0","Non","","0","0","0","0","0","0","0","","","","Oui","Oui","Oui","44","244400644","44184","47.2738604","-2.21376835"
