"nom","annee","adresse","codepostal","ville","mail","www","reseaux","lieu_creation","lieu_diffusion","convention","structure_associee","creation","diffusion","diffusion_region","diffusion_france","diffusion_monde","diffusion_reseaux_sn","diffusion_reseaux_conv","diffusion_reseaux_ccn","diffusion_reseaux_cdn","diffusion_reseaux_thm","diffusion_reseaux_epci","diffusion_reseaux_centreculturel","diffusion_reseaux_mediatheque","diffusion_reseaux_autre","formesartistiques_theatre","formesartistiques_danse","formesartistiques_cirque","formesartistiques_musique","formesartistiques_marionette","formesartistiques_cinema","formesartistiques_theatreobjet","formesartistiques_autre","agecible_0_3ans","agecible_3_6ans","agecible_6_12ans","agecible_12ans","coords"
"Compagnie Cet été",2013,"35 rue de Degré hall A",72000,"Le Mans","cttcompagnie@gmail.com","http://www.cttcompagnie.com","Réseau jeune public pays de loire","Non","Non","Non","Non",2,2,70,30,0,"Non","Non","Non","Non","Non","Oui","Oui","Non","","Oui","Oui","Non","Non","Non","Non","Non","","Oui","Oui","Oui","Non","[48.0148721,0.1832314]"
"Compagnie Oscar et Molière",2014,"Lieu Dit Bol d'Herbe - Daumeray",49640,"Morannes sur Sarthe - Daumeray","oscaretmoliere@gmail.com","http://www.oscaretmoliere.com","","Non","Non","Non","Non",1,2,100,0,0,"Non","Non","Non","Non","Oui","Oui","Oui","Non","Structures petite enfance
Maisons de quartiers
Milieu scolaire","Oui","Non","Non","Oui","Non","Oui","Non","","Oui","Oui","Oui","Non","[47.6884956,-0.44788]"
"Cinemaniak et Cie",1992,"35 RUE DE DEGRÉ",72000,"Le Mans","cinemaniak72@gmail.com","http://cinemaniak.e-monsite.com/","","Non","Non","Non","Non",2,2,"","","","Non","Non","Non","Non","Non","Oui","Oui","Oui","","Oui","Non","Non","Non","Non","Oui","Non","","Oui","Non","Non","Oui","[48.0148721,0.1832314]"
"Zig Zag Création",2006,"10 rue Jacqueline Mazé",49130,"Les Ponts-de-Cé","zigzagcreation@yahoo.fr","https://zigzagcreation.net/","SAAS (Structures-artistes associés solidaires)
PlatO - Plateforme jeune public des Pays de la Loire","Non","Non","Non","Non",1,1,60,30,10,"Non","Non","Non","Non","Oui","Oui","Oui","Oui","","Oui","Non","Non","Oui","Non","Non","Non","Arts-Visuels","Non","Non","Oui","Non","[47.4288437,-0.5221098]"
"Compagnie du Trépied",2016,"No cornette Production / 17 quai Gambetta",49100,"Angers","info@compagniedutrepied.com","http://www.compagniedutrepied.com","","Non","Non","Non","Non",1,1,100,0,0,"Non","Non","Non","Non","Oui","Oui","Oui","Oui","","Non","Non","Oui","Oui","Non","Non","Non","","Non","Oui","Oui","Oui","[47.4760333,-0.5561605]"
"Compagnie Omi Sissi",2009,"14 place de la mairie",49130,"St Gemmes sur Loire","cieomisissi@hotmail.fr","http://www.cie-omi-sissi.fr/","","Non","Non","Non","Non",2,2,100,0,0,"Non","Non","Non","Non","Oui","Oui","Oui","Oui","","Oui","Non","Non","Oui","Non","Non","Non","Conte","Non","Oui","Oui","Non","[47.4707151,-0.5507298]"
"Compagnie La Chaise",2016,"mairie de Mamers",72600,"Mamers","compagnielachaise@gmail.com","http://compagnielachaise.blogspot.com/","Les enfants de Bitche","Non","Non","Non","Non",1,1,0,0,0,"Non","Non","Non","Non","Oui","Non","Non","Non","","Oui","Non","Non","Non","Non","Non","Non","","Non","Oui","Oui","Oui","[48.3765127,0.2459961]"
"Compagnie A Demi-mot",2004,"22 rue de la Basse Lande",44400,"Rezé","ademimot44@gmail.com","http://ademimot44.wix.com/ademimot","PlatO - Plateforme jeune public des Pays de la Loire","Non","Non","Non","Non",3,3,59,40,1,"Non","Oui","Non","Non","Oui","Oui","Oui","Oui","","Non","Non","Non","Oui","Oui","Non","Oui","Conte","Oui","Oui","Oui","Non","[47.1806957,-1.5405688]"
"Théâtre des sept Lieues",1996,"18 bis rue Capitaine Corhumel",44000,"Nantes","marie@t7l.com","http://www.t7l.com","","Non","Oui","Non","CITI",3,7,60,100,0,"Non","Non","Non","Non","Oui","Oui","Oui","Oui","","Oui","Non","Non","Non","Non","Non","Oui","","Oui","Oui","Oui","Oui","[47.2188692,-1.5626562]"
"Compagnie les ELéments DISPOnibles",2007,"Mairie de Brissac Quincé 5 rue du Maréchal Foch",49320,"Brissac Loire Aubance","nane.morineau@gmail.com","https://www.leselementsdisponibles.com/","","Non","Non","Non","Non",2,3,90,10,0,"Non","Non","Non","Non","Oui","Oui","Oui","Oui","Structures petite enfance","Oui","Non","Non","Oui","Non","Non","Non","","Oui","Oui","Oui","Non","[47.3568118,-0.4511128]"
"Estran-Gioco cosî",2003,"11 rue de Dijon",44800,"Saint-Herblain","luisella.rimola@estran-giococosi.com","https://www.estran-giococosi.fr/","","Oui","Non","Non","Association Tcap, As Le Grand B",3,3,70,30,0,"Non","Non","Non","Non","Non","Oui","Oui","Oui","Structures petite enfance
Milieu scolaire
Dans l’espace public
Collectivités","Non","Oui","Non","Oui","Non","Non","Oui","Conte","Oui","Oui","Oui","Non","[47.2062728,-1.6152834]"
"Compagnie En attendant la marée!",2014,"Le dix- 10 place des garennes",44100,"Nantes","contact@enattendantlamaree.fr","http://www.enattendantlamaree.fr","","Non","Oui","Non","Collectif du DIX à Nantes",2,2,38,19,0,"Non","Non","Non","Non","Oui","Oui","Oui","Oui","Structures petite enfance
Milieu scolaire","Non","Non","Non","Oui","Oui","Non","Oui","","Oui","Oui","Non","Non","[47.2023453,-1.5801951]"
"Casus Belli Théâtre",2013,"2 rue des métiers",44140,"La Planche","casus-belli.theatre@outlook.fr","https://www.casus-belli-theatre.com","","Non","Non","Non","Non",1,0,0,0,0,"Non","Non","Non","Non","Non","Non","Non","Non","","Oui","Non","Non","Oui","Oui","Non","Oui","Vidéo","Non","Non","Oui","Non","[47.03796,-1.4698266]"
"Les Dandys Production",2017,"3 rue de bitche",44000,"Nantes","contact@lesdandysproduction.com","https://www.lesdandysproduction.com/","Les enfants de Bitche","Oui","Oui","Non","Les ateliers de bitche",2,1,90,10,0,"Non","Non","Non","Non","Oui","Non","Oui","Oui","","Oui","Oui","Non","Oui","Oui","Non","Oui","Mime","Non","Non","Oui","Oui","[47.21174405,-1.54208709013756]"
"Compagnie Il est doux de faire les fous",2017,"10 Rue Jacqueline Mazé",49130,"Les Ponts-de-Cé","ilestdoux@outlook.fr","https://ilestdouxdefairelesfous.wordpress.com/","Enjeu 49","Non","Non","Non","Non",2,2,100,0,0,"Non","Oui","Non","Non","Oui","Non","Oui","Oui","","Oui","Non","Non","Oui","Non","Non","Oui","","Non","Non","Oui","Oui","[47.4288437,-0.5221098]"
"David Rolland Chorégraphies",2004,"16 allée du Commandant Charcot",44000,"Nantes","info@david-rolland.com","http://www.david-rolland.com","Scène d'Enfance - Assitej France","Non","Non","Avec la DRAC","Groupe Fluo - Nantes",1,2,21,139,4,"Oui","Oui","Non","Non","Oui","Oui","Oui","Non","Festivals","Non","Oui","Non","Non","Non","Non","Non","","Non","Non","Oui","Non","[47.2171548,-1.5479579]"
"Compagnie ECART",1984,"38 rue du Breil, pole associatif",44100,"Nantes","cieecart@yahoo.fr","http://www.cieecart.fr","","Oui","Non","Non","Non",0,0,0,0,0,"Non","Non","Non","Non","Oui","Oui","Oui","Oui","Festivals","Non","Oui","Non","Non","Non","Non","Oui","","Non","Oui","Oui","Non","[47.228852,-1.5868277]"
"Compagnie La Fille du Vent",2012,"Chez Madame Chantal Proust 3 la roche- La chapelle Gaugain",72340,"Loir en Vallée","cie.lafilleduvent@gmail.com","http://marie-strehaiano.com/crbst_9.html","","Non","Non","Non","Non",3,5,100,0,0,"Non","Non","Non","Non","Oui","Oui","Oui","Oui","","Oui","Non","Non","Non","Non","Non","Non","Conte","Oui","Oui","Oui","Oui","[47.805646,0.6668873]"
