"nom","adresse","codepostal","ville","coords"
"Théâtre De La Fleuriaye","30 boulevard Ampère",44470,"Carquefou","[47.3003928,-1.5005153]"
"Théatre Boris Vian","Rue Edmond Rostand",44220,"Couëron","[47.2165493,-1.7325115]"
"Espace Culturel Capellia","Chemin de Roche Blanche",44240,"La-Chapelle-Sur-Erdre","[47.2794772,-1.5607223]"
"Doudou Festival","2 rue Conan Mériadec",44200,"Nantes","[47.2066694,-1.5507713]"
"Handiclap","Esplanade des Riveurs",44000,"Nantes","[47.204985,-1.56485436967966]"
"Tnt (le)","11 Allée de la Maison Rouge",44000,"Nantes","[47.2125593,-1.5520298]"
"Théâtre De La Gobinière (le)","Hôtel de Ville",44706,"Orvault","[47.2709998,-1.6243347]"
"Le Quatrain","Rue de la Basse Lande",44115,"Basse-Goulaine","[47.1960258,-1.4486562]"
"Théâtre Quartier Libre","Place Rohan - Rue Antoinette de Bruc",44150,"Ancenis-Saint-Géréon","[47.3630754,-1.1903039]"
"Théâtre De Verre","27 Place Charles de Gaulle",44110,"Chateaubriant","[47.7180735,-1.37408085895196]"
"Le Grand Lieu","Place Saint-Martin",44118,"La Chevrolière","[47.0938489,-1.6108785492823]"
"Carré D'Argent","Rue du Port-du-Four",44160,"Pont-Château","[47.437418,-2.0933337]"
"Espace Culturel Le Preambule","Place de Presteigne",44850,"Ligné","[47.4087401,-1.37647047175975]"
"Théâtre De L’espace De Retz","14 Rue de la Taillée",44270,"Machecoul-Saint-Même","[46.9947096,-1.8254924]"
"Quai Des Arts","2 Avenue Camille Flammarion",44380,"Pornichet","[47.2655441,-2.3351598]"
"Espace Culturel Sainte Anne","2 Rue des Ajoncs",44410,"Saint-Lyphard","[47.4003643,-2.3091236]"
"Ville De Saint-Sébastien-Sur-Loire","",44230,"Saint-Sébastien-Sur-Loire","[47.2035029,-1.4992075]"
"Le Champilambart","13 Rue des Dorices",44330,"Vallet","[47.1666532,-1.2678051]"
"Centre Culturel Jacques Tati","",49000,"Angers","[47.4739884,-0.5515588]"
"Centre Marcelle Menet","",49100,"Angers","[47.4739884,-0.5515588]"
"Centre National De Danse Contemporaine","",49101,"Angers","[47.4739884,-0.5515588]"
"Le Grand Theatre","",49100,"Angers","[47.4739884,-0.5515588]"
"Le Trois Mats","",49000,"Angers","[47.4739884,-0.5515588]"
"Maison De Quartier Du Lac De Maine","",49000,"Angers","[47.4739884,-0.5515588]"
"Maison De Quartier Les Hauts De Saint Aubin","",49100,"Angers","[47.4739884,-0.5515588]"
"Maison De Quartier Saint Serge","",49000,"Angers","[47.4739884,-0.5515588]"
"Maison De Quartier St Jacques / St Nicolas","",49100,"Angers","[47.4739884,-0.5515588]"
"Mpt Monplaisir","",49100,"Angers","[47.4739884,-0.5515588]"
"Centre Jean Vilar / Festival Boule De Gomme","",49009,"Angers","[47.4449776,-0.5658108]"
"Centre Culturel Georges Brassens","",49240,"Avrille","[47.5045657,-0.5956539]"
"Centre Culturel Rene D'Anjou","",49150,"Bauge","[47.5490746,-0.117747326483762]"
"L'Echappee Belle","",49370,"Becon Les Granits","[47.5034433,-0.8012205]"
"Les Boites A Culture","",49080,"Bouchemaine","[47.4234644,-0.6085356]"
"Centre Social Du Chemillois","",49120,"Chemille","[47.23005335,-0.732369572023663]"
"Théâtre Foirail","",49120,"Chemille-En-Anjou","[47.2146396,-0.732659]"
"Theatre Saint Louis","",49300,"Cholet","[47.05249335,-0.878211254509414]"
"Trpl / Festival De Noirmoutier","",49305,"Cholet","[47.05249335,-0.878211254509414]"
"Centre Culturel Vincent Malandrin ( Théâtre Des Dames)","",49130,"Les Ponts De Ce","[47.4286962,-0.5270662]"
"Espace Culturel L'Argerie","",49370,"Louroux Beconnais","[47.5168109,-0.900519684017551]"
"Centre Culturel Jean Carmet","",49610,"Murs Erigne","[47.3992042,-0.5361153]"
"Le Carre Des Arts","",49112,"Pellouailles Les Vignes","[47.5323942,-0.447210312296261]"
"Theatre De L'Herberie","",49420,"Pouance","[47.7690063,-1.19454394901809]"
"Espace Culturel Centre Poetique","",49190,"Rochefort Sur Loire","[47.3577833,-0.6549574]"
"Cnar La Paperie","",49124,"Saint Barthelemy D'Anjou","[47.4683081,-0.4932941]"
"Centre Social Indigo","",49450,"Saint Macaire En Mauges","[47.1239125,-0.992844353499407]"
"Espace Galilee","",49000,"Saint-Jean-De-Linières","[47.45625925,-0.675433612536101]"
"Mjc","",49400,"Saumur","[47.25417435,-0.0661853886972667]"
"L'Avant Scene","",49800,"Trelaze","[47.4460674,-0.4652452]"
"Mairie - Service Culturel","",49125,"Tiercé","[47.6152682,-0.4673732]"
"Le Dôme","",49400,"Saumur","[47.25417435,-0.0661853886972667]"
"Festival Les Accroches-Cœurs","",4900,"Angers","[47.4739884,-0.5515588]"
"Festival Ça Chauffe","",49610,"Murs-Erigné","[47.3992042,-0.5361153]"
"Com Com Anjou Loir Et Sarthe","",49430,"Durtal","[47.6703129,-0.2458621]"
"Courants D'Loire","",49350,"Les Rosiers Sur Loire","[47.3765554,-0.227997739535239]"
"Le Carré - Scène Nationale Cacin De Château-Gontiert","4 bis rue Horeau",53200,"Chateau-Gontier","[47.82871,-0.6975078]"
"Théâtre Les 3 Chênes – Saison Culturelle Du Pays De Loiron","",53320,"Loiron Ruillé","[48.0620375,-0.938686995327107]"
"Croq’ Les Mots, Marmot !","",53000,"Mayenne","[48.0810745,-0.7705716]"
"Saison Culturelle Du Bocage Mayennais – Communauté De Communes","1 Grande Rue",53120,"Gorron","[48.4111954,-0.8129093]"
"Le Reflet","11 rue du Haut Bourg",53940,"Saint Berthevin","[48.0673317,-0.8296859]"
"Les Ondines","Place Christian d'Elva",53810,"Changé","[48.0983536,-0.7890256]"
"L’entracte","16 rue Saint-Denis - B.P. 177",72305,"Sablé Sur Sarthe","[47.838805,-0.3403827]"
"Théâtre Du Passeur","88 rue de la Rivière",72000,"Le Mans","[48.0099932,0.2118187]"
"Les Saulnières","249, avenue Rhin-et-Danube",72000,"Le Mans","[48.0145544,0.1867048]"
"L’écluse","47 rue des accacias",72000,"Le Mans","[47.9974596,0.1826615]"
"Service Culturel Ville Du Mans","place Saint Pierre",72000,"Le Mans","[48.0073203,0.1965084]"
"Superforma","5, place Paul Cezanne",72100,"Le Mans","[47.9740307,0.215191]"
"Le Théâtre","",44000,"Saint-Nazaire","[45.2566002,5.8490243]"
"Athénor","",44000,"Saint-Nazaire","[45.2566002,5.8490243]"
"Pannonica (le)","9 Rue Basse Porte",44000,"Nantes","[47.2209624,-1.558229]"
"P’tits Enchantements Du Dix (les) – Maison Du Dix","10 place des Garennes",44100,"Nantes","[47.2022473,-1.578156]"
"Ruche (la)"," 8 Rue Félibien",44000,"Nantes","[47.2209017,-1.5638617]"
"Aux Heures D’été","27 Rue de Strasbourg",44000,"Nantes","[47.2181286,-1.5531753]"
